name,title,xpath,grid_name,parent_grid_name,type,widget,container,format,ignore_empty,ignore_autocalc_check,export_result,force_def_val,disabled,readonly,required,weight,allow_cyrillic,default_value,options,attributes,class,rows,minlength,maxlength,decimal_length,pattern,exclude_from_xml,extensions,max_size,tag
CAPITOL7_R751_C2,Capitol 7 Rind.751 nu,dec/DataSet/Data/CAPITOL7_R751_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R752_C1,Capitol 7 Rind.752 da,dec/DataSet/Data/CAPITOL7_R752_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL7_R752_C2,Capitol 7 Rind.752 nu,dec/DataSet/Data/CAPITOL7_R752_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R810_C1,Capitol 8 Rind.810 da,dec/DataSet/Data/CAPITOL8_R810_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R810_C2,Capitol 8 Rind.810 nu,dec/DataSet/Data/CAPITOL8_R810_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R821_C1,Capitol 8 Rind.821 da,dec/DataSet/Data/CAPITOL8_R821_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R821_C2,Capitol 8 Rind.821 nu,dec/DataSet/Data/CAPITOL8_R821_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R822_C1,Capitol 8 Rind.822 da,dec/DataSet/Data/CAPITOL8_R822_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R822_C2,Capitol 8 Rind.822 nu,dec/DataSet/Data/CAPITOL8_R822_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R823_C1,Capitol 8 Rind.823 da,dec/DataSet/Data/CAPITOL8_R823_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R823_C2,Capitol 8 Rind.823 nu,dec/DataSet/Data/CAPITOL8_R823_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R824_C1,Capitol 8 Rind.824 da,dec/DataSet/Data/CAPITOL8_R824_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R824_C2,Capitol 8 Rind.824 nu,dec/DataSet/Data/CAPITOL8_R824_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL8_R825_C1,Capitol 8 Rind.825 da,dec/DataSet/Data/CAPITOL8_R825_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
